#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   92    68     0    24  1.21082e+03  8.74234e-04  1.30992e-03    44
   92    84     0     8  1.83258e+02  1.49775e-03  2.63477e-03    13
   92    84     0     8  1.61233e+02  1.12373e-03  4.88518e-03    22
   92    84     0     8  2.04502e+02  2.12048e-03  4.35290e-03    23
   92    84     0     8  2.55472e+02  1.62236e-03  3.18795e-03    11
   92    84     0     8  1.61548e+02  2.49375e-03 -3.43586e-03    19
   92    84     0     8  2.02502e+02  1.12373e-03 -3.93185e-03    11
   92    84     0     8  1.52703e+02  1.99600e-03 -2.70099e-03    18
   92    84     0     8  2.87361e+02  1.62236e-03  3.78995e-03    19
   92    84     0     8  1.89429e+02  1.12373e-03  2.40708e-03    11
   92    84     0     8  2.28880e+02  1.62236e-03 -4.06979e-03    10
   92    84     0     8  2.05326e+02  1.12373e-03  4.98428e-03    12
   92    84     0     8  2.32690e+02  1.87148e-03 -2.06164e-03    12
   92    84     0     8  1.90726e+02  1.24844e-03 -4.21682e-03    18
   92    84     0     8  1.63231e+02  1.37311e-03  2.54598e-03    11
   92    84     0     8  1.71474e+02  1.62236e-03  4.30075e-03    13
   92    84     0     8  2.02156e+02  1.62236e-03 -4.18432e-03    12
   92    82     0    10  4.77714e+02  1.87148e-03 -3.81401e-03    23
   92    82     0    10  4.27569e+02  1.24844e-03  4.38138e-03    12
   92    84     0     8  2.46439e+02  1.37311e-03  5.12258e-03    23
   92    84     0     8  1.79093e+02  8.74234e-04  4.31591e-03    19
   92    84     0     8  1.67632e+02  1.37311e-03  4.46531e-03    10
   92    84     0     8  3.26818e+02  1.87148e-03 -4.07289e-03    18
   92    84     0     8  2.51507e+02  1.62236e-03 -4.98361e-03    23
   92    84     0     8  1.87842e+02  1.37311e-03  4.78729e-03    23
   92    84     0     8  2.37709e+02  1.74694e-03 -4.06275e-03    18
   92    84     0     8  1.83489e+02  1.37311e-03  4.03881e-03    18
   92    84     0     8  1.87384e+02  1.62236e-03  4.12601e-03     0
   92    84     0     8  2.02048e+02  1.24844e-03  5.80798e-03    13
   92    84     0     8  2.73501e+02  1.49775e-03  8.46426e-03    12
   92    84     0     8  3.15076e+02  7.49437e-04 -2.58631e-03     5
   92    84     0     8  1.87741e+02  1.49775e-03 -4.24139e-03    18
   92    84     0     8  3.13036e+02  1.12373e-03 -3.18680e-03    10
   92    84     0     8  3.39706e+02  1.37311e-03  4.85580e-03    22
   92    71     0    21  7.67716e+02  9.99000e-04  1.63082e-03    21
   92    84     0     8  3.30542e+02  1.62236e-03 -3.76571e-03     7
   92    84     0     8  2.59421e+02  1.12373e-03 -5.83177e-03    22
   92    84     0     8  3.52358e+02  1.87148e-03 -2.61798e-03    23
   92    84     0     8  2.46133e+02  1.24844e-03  3.59760e-03     0
   92    84     0     8  3.17451e+02  1.49775e-03  2.74957e-03    23
   92    84     0     8  2.45266e+02  1.24844e-03  2.37342e-03    10
   92    84     0     8  3.12486e+02  1.37311e-03  3.55741e-03    23
   92    84     0     8  3.35820e+02  1.12373e-03 -2.23939e-03    22
   92    68     0    24  1.27108e+03  1.62236e-03 -1.95707e-03     2
   92    84     0     8  2.66686e+02  1.24844e-03  2.70314e-03    10
   92    84     0     8  2.48924e+02  1.49775e-03 -2.50927e-03     5
   92    84     0     8  3.59248e+02  9.99000e-04  3.20034e-03     6
   92    84     0     8  2.64200e+02  1.62236e-03 -4.50943e-03     0
   92    84     0     8  2.79474e+02  1.24844e-03 -3.44675e-03    10
   92    84     0     8  2.43316e+02  1.12373e-03  6.58480e-03    22
   92    84     0     8  3.70436e+02  1.99600e-03 -2.21441e-03     0
   92    84     0     8  2.46995e+02  7.49437e-04 -5.63147e-03    19
   92    84     0     8  2.83591e+02  1.74694e-03  4.44014e-03    11
   92    84     0     8  2.47146e+02  1.37311e-03 -3.87039e-03    12
   92    84     0     8  2.45064e+02  2.36936e-03 -3.33194e-03     8
   92    84     0     8  2.54179e+02  1.24844e-03  4.39352e-03     0
   92    84     0     8  3.19677e+02  1.74694e-03 -4.44110e-03     0
   92    82     0    10  3.76847e+02  2.36936e-03 -3.36084e-03    10
   92    84     0     8  2.22824e+02  1.37311e-03  4.47525e-03     0
   92    84     0     8  3.18527e+02  1.49775e-03  4.07529e-03     8
   92    84     0     8  2.49366e+02  1.24844e-03  2.65979e-03    11
   92    84     0     8  2.54389e+02  1.74694e-03 -5.14182e-03     9
   92    84     0     8  2.40679e+02  1.24844e-03 -2.83262e-03     0
   92    84     0     8  2.69072e+02  1.99600e-03  4.28356e-03    10
   92    84     0     8  2.48051e+02  8.74234e-04 -3.24746e-03     0
   92    84     0     8  2.75568e+02  1.24844e-03  3.34621e-03    18
   92    84     0     8  3.05309e+02  1.87148e-03  3.55757e-03    23
   92    82     0    10  3.77837e+02  1.24844e-03 -3.63124e-03    10
   92    84     0     8  3.12391e+02  1.37311e-03 -2.63516e-03    23
   92    84     0     8  3.01751e+02  1.49775e-03  2.59152e-03     0
   92    84     0     8  3.26763e+02  1.37311e-03  4.78419e-03    23
   92    84     0     8  2.53039e+02  1.12373e-03  5.64755e-03    19
   92    82     0    10  3.83965e+02  7.49438e-04 -2.81184e-03    22
   92    82     0    10  4.59846e+02  1.62236e-03  2.57453e-03    20
   92    82     0    10  3.87248e+02  1.87148e-03  3.75387e-03    10
   92    82     0    10  4.73185e+02  1.49775e-03  2.01864e-03     5
   92    84     0     8  3.23684e+02  1.99600e-03  4.34289e-03    10
   92    82     0    10  4.44946e+02  2.12048e-03 -3.30925e-03    13
   92    84     0     8  2.48655e+02  1.24844e-03  2.61705e-03     6
   92    82     0    10  4.36321e+02  1.37311e-03 -3.27829e-03    21
   92    84     0     8  3.37781e+02  9.99000e-04 -3.30972e-03     0
   92    82     0    10  4.41159e+02  1.74694e-03  5.05193e-03    23
   92    84     0     8  2.55357e+02  2.12048e-03  2.97764e-03    10
   92    84     0     8  3.59201e+02  2.12148e-03 -3.69263e-03    23
   92    84     0     8  3.39295e+02  1.62236e-03 -2.26846e-03     0
   92    84     0     8  3.41128e+02  1.49775e-03 -3.08718e-03    13
   92    84     0     8  3.17173e+02  8.74234e-04  4.78180e-03    23
   92    84     0     8  2.99818e+02  1.12373e-03  2.27053e-03    11
   92    84     0     8  3.17755e+02  1.24844e-03 -4.12273e-03    18
   92    84     0     8  3.52592e+02  1.49775e-03  5.54390e-03    18
   92    68     0    24  1.20149e+03  9.99000e-04  7.29864e-04    60
   92    80     0    12  5.51027e+02  1.12373e-03  3.13703e-03     0
   92    84     0     8  3.13990e+02  6.24609e-04 -2.38637e-03     9
   92    82     0    10  4.15830e+02  1.99600e-03  4.28242e-03    12
   92    84     0     8  3.52192e+02  1.62236e-03 -2.74480e-03    10
   92    84     0     8  3.09129e+02  1.49775e-03  3.35814e-03     6
   92    64     0    28  9.79309e+03  7.49437e-04 -3.68792e-04    89
   92    84     0     8  3.59528e+02  1.49775e-03  3.79192e-03    19
   92    84     0     8  3.68314e+02  1.49775e-03 -4.09634e-03    23
   92    84     0     8  3.56726e+02  1.12373e-03  2.22814e-03     0
   92    84     0     8  3.26545e+02  1.74694e-03  3.07681e-03    12
   92    84     0     8  3.63750e+02  2.37048e-03  4.44254e-03    10
   92    80     0    12  6.01151e+02  1.24844e-03  1.55477e-03    21
   92    84     0     8  3.30947e+02  1.87148e-03 -4.76296e-03    18
   92    84     0     8  3.48838e+02  1.24844e-03  5.50362e-03    23
   92    82     0    10  4.01440e+02  1.49775e-03 -3.82380e-03    10
   92    84     0     8  2.73735e+02  7.49437e-04 -5.24237e-03    22
   92    80     0    12  6.03493e+02  1.74694e-03  4.89557e-03    10
   92    82     0    10  4.00289e+02  1.12373e-03 -1.90618e-03    21
   92    84     0     8  3.29667e+02  1.49775e-03 -4.32411e-03    11
   92    69     0    23  9.92536e+02  1.12373e-03 -2.42429e-03     3
   92    84     0     8  3.08792e+02  1.74694e-03  2.66666e-03    22
   92    84     0     8  3.23041e+02  1.37311e-03 -5.68027e-03    13
   92    84     0     8  3.56247e+02  1.37311e-03 -4.19040e-03    10
   92    84     0     8  3.49945e+02  9.99000e-04 -5.41234e-03     0
   92    82     0    10  3.95048e+02  1.62236e-03  6.27790e-03    13
   92    80     0    12  5.10722e+02  1.37311e-03 -1.82154e-03    13
   92    84     0     8  3.33095e+02  1.74694e-03 -4.25318e-03     9
   92    82     0    10  4.58651e+02  1.99600e-03  3.71745e-03    22
   92    84     0     8  3.76209e+02  1.49775e-03 -4.60254e-03    10
   92    82     0    10  4.27397e+02  8.74234e-04 -5.22253e-03     0
   92    84     0     8  3.26630e+02  1.49775e-03 -4.51024e-03     0
   92    82     0    10  4.55940e+02  1.99600e-03 -4.60808e-03    10
   92    84     0     8  3.58992e+02  1.37311e-03  2.93216e-03    12
   92    80     0    12  5.28141e+02  8.74234e-04  3.45044e-03    10
   92    82     0    10  4.07604e+02  1.87148e-03 -2.96995e-03     6
   92    70     0    22  8.43511e+02  2.12048e-03  2.31851e-03     2
   92    84     0     8  3.27525e+02  1.49775e-03  5.39470e-03     0
   92    82     0    10  4.45251e+02  1.12373e-03  4.04992e-03    12
   92    82     0    10  3.76916e+02  1.62236e-03  4.40474e-03    11
   92    82     0    10  4.72889e+02  1.74694e-03 -5.06743e-03     0
   92    82     0    10  3.96193e+02  1.87148e-03  5.77775e-03     0
   92    82     0    10  4.18710e+02  2.12048e-03 -3.90739e-03     5
   92    84     0     8  3.59215e+02  1.62236e-03 -3.82760e-03    23
   92    80     0    12  6.16943e+02  1.74694e-03  4.46595e-03     0
   92    82     0    10  4.12399e+02  1.99600e-03 -3.22124e-03     0
   92    80     0    12  5.29889e+02  9.99000e-04 -4.40957e-03    13
   92    84     0     8  3.37681e+02  1.74694e-03  4.43357e-03    13
   92    82     0    10  3.80445e+02  1.49775e-03  2.35061e-03     0
   92    73     0    19  7.30100e+02  1.49775e-03 -4.39827e-03     9
   92    68     0    24  1.29434e+03  2.24494e-03 -1.12821e-03     2
   92    69     0    23  1.06909e+03  2.12048e-03  2.54995e-03     2
   92    81     0    11  5.07676e+02  2.24494e-03 -3.40124e-03    13
