#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  104    64   104    40  4.05015e+03  0.00000e+00  5.78655e-04   104
  104    64   104    40  2.86133e+03  0.00000e+00  7.28335e-04   104
  104    64   104    40  3.46102e+03  0.00000e+00  3.24584e-04   104
  104    64   104    40  3.18308e+03  0.00000e+00  3.69834e-04   194
  104    64   104    40  3.03180e+03  0.00000e+00  4.19646e-04   194
  104    64   104    40  4.02464e+03  0.00000e+00  8.32229e-04   104
  104    64   104    40  3.18187e+03  0.00000e+00  4.46366e-04   104
  104    64   104    40  2.00027e+03  0.00000e+00  6.71532e-04   104
  104    64   104    40  2.42124e+03  0.00000e+00  5.87506e-04   104
  104    64   104    40  4.24390e+03  0.00000e+00 -6.91677e-04    92
  104    64   104    40  5.14070e+03  0.00000e+00  6.02397e-04   104
  104    64   104    40  2.19532e+03  0.00000e+00  7.90608e-04   104
  104    64   104    40  2.83476e+03  0.00000e+00  5.15597e-04   104
  104    64   104    40  3.13413e+03  0.00000e+00  7.28614e-04   104
  104    64   104    40  2.11173e+03  0.00000e+00 -6.13509e-04    92
  104    64   104    40  3.02987e+03  0.00000e+00  7.70521e-04   104
  104    64   104    40  3.90556e+03  0.00000e+00  4.29999e-04   204
  104    64   104    40  8.82878e+03  0.00000e+00 -4.78725e-04    92
  104    64   104    40  5.16678e+03  0.00000e+00  5.62234e-04   104
  104    64   104    40  3.01587e+03  0.00000e+00 -7.02302e-04   182
  104    64   104    40  4.78998e+03  0.00000e+00  6.61315e-04   104
  104    64   104    40  2.44818e+03  0.00000e+00  5.65642e-04   194
  104    64   104    40  2.10120e+03  0.00000e+00  6.86179e-04   104
  104    64   104    40  2.16272e+03  0.00000e+00  5.43736e-04   104
  104    64   104    40  3.27412e+03  0.00000e+00  4.69177e-04   104
  104    64   104    40  5.30606e+03  0.00000e+00  6.53634e-04   104
  104    64   104    40  2.77550e+03  0.00000e+00  8.21559e-04   104
  104    64   104    40  5.65015e+03  0.00000e+00  5.85625e-04   104
  104    64   104    40  1.63060e+03  0.00000e+00 -5.89556e-04    92
  104    64   104    40  2.64714e+03  0.00000e+00  1.00633e-03   104
  104    64   104    40  2.47089e+03  0.00000e+00  6.67451e-04   104
  104    64   104    40  2.65843e+03  0.00000e+00  7.53286e-04   104
  104    64   104    40  3.09156e+03  0.00000e+00 -5.53809e-04   182
  104    64   104    40  2.21286e+03  0.00000e+00  7.07846e-04   104
  104    64   104    40  2.73473e+03  0.00000e+00  6.01678e-04   104
  104    64   104    40  2.21543e+03  0.00000e+00 -6.84628e-04   182
  104    64   104    40  2.15558e+03  0.00000e+00 -6.80697e-04    84
  104    64   104    40  1.28284e+03  0.00000e+00  6.96878e-04   104
  104    64   104    40  2.72331e+03  0.00000e+00  8.95510e-04   104
  104    64   104    40  1.60662e+03  0.00000e+00  8.63822e-04   104
  104    64   104    40  2.98881e+03  0.00000e+00  8.00648e-04   104
  104    64   104    40  1.88884e+03  0.00000e+00 -6.48533e-04    92
  104    64   104    40  4.31064e+03  0.00000e+00  5.87838e-04   104
  104    64   104    40  1.71210e+03  0.00000e+00  1.06409e-03   104
  104    64   104    40  1.66568e+03  0.00000e+00  9.34324e-04   104
  104    64   104    40  2.72580e+03  0.00000e+00  9.99069e-04   104
  104    64   104    40  1.73064e+03  0.00000e+00 -6.36268e-04   182
  104    64   104    40  2.92016e+03  0.00000e+00  5.81120e-04   104
